Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size,Latitude,Longitude
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115227789,apartment,Belhar,2.0,1.0,,,38.0,-33.9447222,18.6258333
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115227696,apartment,Muizenberg,2.0,1.0,1.0,,62.0,-34.0978389,18.484570761750607
1095000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115226504,apartment,Salt River,2.0,1.0,1.0,,56.0,-33.9317008,18.4610056
695000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115226148,land,Lotus River,,,,566.0,,-34.0430556,18.5213889
430000,https://www.property24.com/for-sale/bishop-lavis/cape-town/western-cape/8121/115225685,house,Bishop Lavis,2.0,1.0,4.0,252.0,,-33.9486111,18.5758333
1400000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115225332,house,Retreat,2.0,1.0,6.0,345.0,,-34.0541667,18.4763889
650000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115225288,house,Langa,2.0,1.0,1.0,200.0,,-33.9455556,18.53
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115043545?plId=1842782&amp;plt=4,house,Bonteheuwel,2.0,1.0,1.0,206.0,,-33.94607325,18.5035322
850000,https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115223667,apartment,Bridgetown,2.0,1.0,1.0,,56.0,-33.9563889,18.5305556
1199000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115198173?plId=1848740&amp;plt=4,apartment,Mowbray,1.0,1.0,,,21.0,-33.9483333,18.4741667
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115164660?plId=1842782&amp;plt=4,house,Bonteheuwel,2.0,1.0,1.0,206.0,,-33.94607325,18.5035322
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115097986?plId=1832326&amp;plt=4,apartment,Muizenberg,2.0,1.0,1.0,,62.0,-34.0978389,18.484570761750607
685000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115042280?plId=1825025&amp;plt=4,apartment,Wynberg,1.0,1.0,1.0,,54.0,-34.0036249,18.4672507
1275000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115080272?plId=1818248&amp;plt=4,apartment,Plumstead,1.0,1.0,1.0,,48.0,-34.02,18.4772222
680000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/113698215,apartment,Belhar,2.0,1.0,,,38.0,-33.9447222,18.6258333
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223491,townhouse,Plumstead,2.0,1.0,1.0,,54.0,-34.02,18.4772222
1275000,https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115164899,apartment,Heathfield,2.0,1.0,1.0,,53.0,-33.91628664381761,18.39188083261887
875000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114948765?plId=1838637&amp;plt=4,apartment,Kenilworth,1.0,1.0,1.0,,31.0,-33.9941667,18.4683333
1350000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115110349?plId=1845217&amp;plt=4,house,Pelican Park,3.0,1.0,5.0,206.0,,-34.0546062,18.5284575
1200000,https://www.property24.com/for-sale/westlake/cape-town/western-cape/11740/113927603,property,Westlake,,,,,50.0,-34.0784902,18.4410137
595000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115223252,apartment,Pinelands,1.0,1.0,,,22.0,-33.9316667,18.5127778
1350000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115213590,apartment,Muizenberg,1.0,1.0,1.0,,40.0,-34.0978389,18.484570761750607
1100000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115202085,apartment,Muizenberg,2.0,1.0,1.0,,56.0,-34.0978389,18.484570761750607
1299000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115102892?plId=1822862&amp;plt=4,apartment,Ottery,2.0,2.0,1.0,,52.0,-34.0131526,18.5091531
645000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115216326,house,Ocean View,4.0,2.0,2.0,204.0,,-33.91222275,18.389076794442737
995000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115196513,apartment,Plumstead,1.0,1.0,1.0,,65.0,-34.02,18.4772222
1500000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115198342,house,Muizenberg,3.0,2.0,3.0,200.0,,-34.0978389,18.484570761750607
840000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115189265,apartment,Plumstead,1.0,1.0,1.0,,32.0,-34.02,18.4772222
360000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115126040,apartment,Wynberg,1.0,1.0,,,31.0,-34.0036249,18.4672507
1195000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115183722,apartment,Costa Da Gama,2.0,1.0,2.0,,62.0,,
1494995,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/115155486?plId=1832768&amp;plt=4,apartment,Woodstock,1.0,1.0,1.0,,42.0,-33.9305556,18.4472222
1195000,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/115148091?plId=1832768&amp;plt=4,apartment,Rosebank,1.0,1.0,1.0,,68.0,-33.9519444,18.4738889
1495000,https://www.property24.com/for-sale/rondebosch-village/cape-town/western-cape/8660/115191220,apartment,Rondebosch Village,1.0,1.0,1.0,,52.0,-33.95200375,18.487255683584934
850000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115223177,house,Langa,6.0,1.0,5.0,230.0,,-33.9455556,18.53
1189000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115178607,apartment,Zonnebloem,0.5,1.0,1.0,,44.0,-33.932546,18.435048
995000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/115218798,apartment,Thornton,2.0,1.0,1.0,,53.0,-33.9189157,18.5318232
1500000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114630103?plId=1830249&amp;plt=4,apartment,Zonnebloem,2.0,1.0,1.0,,49.0,-33.932546,18.435048
1395000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115223141,apartment,Pinelands,1.0,1.0,,,36.0,-33.9316667,18.5127778
700000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115182353,apartment,Wynberg,1.0,1.0,1.0,,54.0,-34.0036249,18.4672507
1390000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115139081,house,Salt River,2.0,1.0,1.0,156.0,,-33.9317008,18.4610056
820000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115062739,apartment,Mowbray,1.0,1.0,,,34.0,-33.9483333,18.4741667
930000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115190423,house,Belhar,2.0,1.0,2.0,152.0,,-33.9447222,18.6258333
1200000,https://www.property24.com/for-sale/charlesville/cape-town/western-cape/8155/115007357?plId=1839131&amp;plt=4,house,Charlesville,3.0,1.5,5.0,582.0,,-33.961557150000004,18.567850450689303
1150000,https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115183900,apartment,Wynberg Upper,1.0,1.0,1.0,,52.0,,
1349000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186760,apartment,Observatory,1.0,1.0,1.0,,46.0,-33.9369444,18.4683333
349000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115005184?plId=1829752&amp;plt=4,land,Ocean View,,,,198.0,,-33.91222275,18.389076794442737
860000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115068392,apartment,Costa Da Gama,2.0,1.0,1.0,,45.0,,
975000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115042093,apartment,Zonnebloem,1.0,1.0,,,54.0,-33.932546,18.435048
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114839412,apartment,Zonnebloem,2.0,2.0,1.0,,71.0,-33.932546,18.435048
1150000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/113435037,apartment,Pinelands,2.0,1.0,1.0,,63.0,-33.9316667,18.5127778
1150000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115148594,house,Belhar,3.0,2.0,1.0,281.0,,-33.9447222,18.6258333
1395000,https://www.property24.com/for-sale/steenberg/cape-town/western-cape/9040/115085422?plId=1822303&amp;plt=4,house,Steenberg,5.0,2.0,4.0,293.0,,-34.0747222,18.4708333
1250000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115183658,apartment,Zonnebloem,2.0,2.0,1.0,,71.0,-33.932546,18.435048
1495000,https://www.property24.com/for-sale/wynberg-upper/cape-town/western-cape/10102/115136375,apartment,Wynberg Upper,1.0,1.0,,,73.0,,
1500000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115223895,house,Maitland,,,,743.0,,-33.9225,18.4930556
495000,https://www.property24.com/for-sale/maitland/cape-town/western-cape/9153/115212684,apartment,Maitland,1.0,1.0,1.0,,33.0,-33.9225,18.4930556
1495000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/115113432,apartment,Kenilworth,1.0,1.0,1.0,,50.0,-33.9941667,18.4683333
999000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115167863,apartment,Ottery,2.0,1.0,1.0,,45.0,-34.0131526,18.5091531
1500000,https://www.property24.com/for-sale/tokai/cape-town/western-cape/9044/115172801,house,Tokai,2.0,1.0,1.0,,59.0,-34.0608333,18.4416667
1295000,https://www.property24.com/for-sale/ndabeni/cape-town/western-cape/8014/115197458,house,Ndabeni,3.0,2.0,2.0,219.0,,-33.928485,18.4916241
1450000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115100987,townhouse,Muizenberg,2.0,1.5,2.0,120.0,,-34.0978389,18.484570761750607
1070000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101771,apartment,Woodstock,1.0,1.0,1.0,,43.0,-33.9305556,18.4472222
1090000,https://www.property24.com/for-sale/observatory/cape-town/western-cape/10157/115186764,apartment,Observatory,0.5,1.0,1.0,,38.0,-33.9369444,18.4683333
960000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115028425,apartment,Woodstock,0.5,1.0,1.0,,43.0,-33.9305556,18.4472222
1265000,https://www.property24.com/for-sale/woodstock/cape-town/western-cape/10164/115101756,apartment,Woodstock,1.0,1.0,1.0,,62.0,-33.9305556,18.4472222
1250000,https://www.property24.com/for-sale/surrey-estate/cape-town/western-cape/8762/115208034,house,Surrey Estate,3.0,2.0,2.0,205.0,,-33.9763889,18.5458333
